problem,edges,weight,running_time,function_calls,primitive_calls
10000x10000_m-00004_n-00004_seed-42,8,53501.20881204009,0.019781,12412,12319
10000x10000_m-00004_n-00008_seed-42,23,123997.58602110264,0.044936000000000004,36202,35797
10000x10000_m-00004_n-00016_seed-42,76,381248.9304677281,0.12097100000000004,145779,144419
10000x10000_m-00004_n-00032_seed-42,285,1230695.853282457,0.4344389999999998,696618,690489
10000x10000_m-00004_n-00064_seed-42,1217,5884741.23798423,1.8884869999999985,2956680,2925790
10000x10000_m-00004_n-00128_seed-42,4201,20108892.319652997,6.693068000000001,10831860,10708539
10000x10000_m-00004_n-00256_seed-42,16383,72003728.16143952,26.07812100000001,42052245,41551528
10000x10000_m-00004_n-00512_seed-42,61301,257326177.93422282,92.00408200000001,148174659,146009487
10000x10000_m-00008_n-00004_seed-42,3,9486.9286261767,0.008911,13034,12927
10000x10000_m-00008_n-00008_seed-42,26,128258.08996720289,0.052416000000000004,79768,79321
10000x10000_m-00008_n-00016_seed-42,69,290882.0057032323,0.16581300000000004,264784,263308
10000x10000_m-00008_n-00032_seed-42,395,1761001.4523639285,0.9379019999999997,1522135,1515476
10000x10000_m-00008_n-00064_seed-42,1189,5724012.1950046895,3.1646669999999997,5156175,5125314
10000x10000_m-00008_n-00128_seed-42,4111,18639838.30797552,12.095410999999997,19771321,19653751
10000x10000_m-00008_n-00256_seed-42,16194,67742367.48492742,48.99292099999999,79927714,79443089
10000x10000_m-00008_n-00512_seed-42,61725,244734426.50627518,174.42266099999995,284757033,282664302
10000x10000_m-00016_n-00004_seed-42,13,50958.878902658646,0.039356000000000016,61056,60958
10000x10000_m-00016_n-00008_seed-42,23,82866.54687642894,0.09079600000000002,140751,140308
10000x10000_m-00016_n-00016_seed-42,71,260115.02428825325,0.40875399999999995,661276,659324
10000x10000_m-00016_n-00032_seed-42,250,1006026.9406867849,1.7497319999999992,2862863,2855520
10000x10000_m-00016_n-00064_seed-42,784,2839026.5746027147,5.693061000000003,9268630,9237772
10000x10000_m-00016_n-00128_seed-42,2480,8378843.321210287,22.416494999999998,36737529,36605214
10000x10000_m-00016_n-00256_seed-42,10205,33926611.76122268,83.46324299999998,134546215,134045993
10000x10000_m-00016_n-00512_seed-42,37047,114736923.86355713,286.10889299999997,464727554,462633060
10000x10000_m-00032_n-00004_seed-42,7,24436.56424795623,0.11759599999999996,179543,179386
10000x10000_m-00032_n-00008_seed-42,25,71479.70895098915,0.22463999999999998,359183,358774
10000x10000_m-00032_n-00016_seed-42,61,180276.8016254383,0.8001689999999997,1306773,1305298
10000x10000_m-00032_n-00032_seed-42,170,503945.4606956863,3.743096000000001,6160942,6153539
10000x10000_m-00032_n-00064_seed-42,446,1221490.0416107588,12.886243999999998,21056735,21025547
10000x10000_m-00032_n-00128_seed-42,1289,3342905.1362720076,44.17824999999997,72657285,72522958
10000x10000_m-00032_n-00256_seed-42,6058,16147687.81350923,180.12867099999988,293496619,292971871
10000x10000_m-00032_n-00512_seed-42,22041,54491604.98521989,614.9192309999999,1007695244,1005621782
10000x10000_m-00064_n-00004_seed-42,6,12226.614822629554,0.3532699999999998,544204,544003
10000x10000_m-00064_n-00008_seed-42,23,65416.04619034541,0.5514639999999997,878477,877788
10000x10000_m-00064_n-00016_seed-42,60,170257.2627380889,1.8246009999999988,2987573,2985314
10000x10000_m-00064_n-00032_seed-42,131,312971.1006266149,7.317299000000003,12093080,12086312
10000x10000_m-00064_n-00064_seed-42,305,631557.227092108,25.118156999999993,41638234,41614859
10000x10000_m-00064_n-00128_seed-42,926,1984250.7743931343,109.14962299999999,180916891,180807843
10000x10000_m-00064_n-00256_seed-42,2770,5405522.382334321,403.39166699999987,656686635,656159851
10000x10000_m-00064_n-00512_seed-42,9674,17077403.501932025,1377.7333500000009,2214392493,2212198204
10000x10000_m-00128_n-00004_seed-42,19,40374.8208630947,1.7117400000000003,2646635,2646542
10000x10000_m-00128_n-00008_seed-42,28,52710.36372764359,1.9735230000000004,3000535,2999959
10000x10000_m-00128_n-00016_seed-42,56,108290.56787930657,4.161987000000001,6615449,6613770
10000x10000_m-00128_n-00032_seed-42,127,273124.48832576536,16.120945,25406544,25399145
10000x10000_m-00128_n-00064_seed-42,284,572921.3849880724,68.62787199999998,107219978,107189837
10000x10000_m-00128_n-00128_seed-42,856,1601445.5814460996,260.9698699999999,408822881,408712164
10000x10000_m-00128_n-00256_seed-42,2240,3815094.2381993784,910.534532,1457926816,1457392730
10000x10000_m-00128_n-00512_seed-42,7386,11259950.08801238,3006.3224949999985,4839606684,4837398512
10000x10000_m-00256_n-00004_seed-42,17,42346.07249422913,7.881124999999997,11761547,11761454
10000x10000_m-00256_n-00008_seed-42,40,90101.61656607353,9.004689999999991,13479945,13479603
10000x10000_m-00256_n-00016_seed-42,79,145979.73079606466,18.62611,28191177,28189473
10000x10000_m-00256_n-00032_seed-42,132,213438.73998329206,43.66343,69719086,69712125
10000x10000_m-00256_n-00064_seed-42,274,398000.6011030415,174.09085799999994,287153885,287123785
10000x10000_m-00256_n-00128_seed-42,640,878134.891347399,615.9713009999999,1015643262,1015524685
10000x10000_m-00256_n-00256_seed-42,1855,2360170.4249027055,2129.2131730000006,3546107983,3545584077
10000x10000_m-00256_n-00512_seed-42,5524,6655238.186819468,7365.703792999998,11298418015,11296280965
10000x10000_m-00512_n-00004_seed-42,37,56517.68266413349,63.047959000000006,53438921,53438828
10000x10000_m-00512_n-00008_seed-42,62,86707.90129034377,72.74515099999998,62331690,62331207
10000x10000_m-00512_n-00016_seed-42,99,129057.88475636755,58.66644299999998,84166164,84164649
10000x10000_m-00512_n-00032_seed-42,160,200482.39552964902,203.036664,196547233,196539346
10000x10000_m-00512_n-00064_seed-42,312,378900.8114676024,709.1989669999999,678941974,678913183
10000x10000_m-00512_n-00128_seed-42,666,800782.2376721947,1960.104754,2427647229,2427540316
10000x10000_m-00512_n-00256_seed-42,1500,1730527.8524291143,6049.644987,9140021370,9139527550
